Epoch,Standard_MB,FedAvg_MB
1,100,91.87307530779819
2,100,77.03200460356393
3,100,64.88116360940265
4,100,54.932896411722155
5,100,46.787944117144235
6,100,40.1194211912202
7,100,34.65969639416065
8,100,30.189651799465537
9,100,26.529888822158654
10,100,23.533528323661272
11,100,21.08031583623339
12,100,19.07179532894125
13,100,17.42735782143339
14,100,16.081006262521797
15,100,14.978706836786394
16,100,14.076220397836622
17,100,13.337326996032607
18,100,12.732372244729255
19,100,12.23707718561656
20,100,11.831563888873418
