Scenario,Regime,Seed,Macro-F1,AUROC,Avg_Reward,Adaptation_Episodes,Detection_Delay_Steps,Comm_Cost_KB
A,zero-shot,13,0.4219653176702863,0.5,0.9486032724380493,0,14.189412906048165,53.57125668593147
A,few-shot,13,0.499999999745,0.5,0.9487261772155762,10,3.786899375413004,98.15490388514644
A,zero-shot,42,0.4350282483368763,0.5,0.951640784740448,0,11.420316461542878,54.206998249752445
A,few-shot,42,0.499999999745,0.5,0.9515925645828247,10,1.125716742746937,81.82052056318902
A,zero-shot,87,0.4680851061290176,0.5,0.9507024884223938,0,5.676455131544587,81.72650929884014
A,few-shot,87,0.499999999745,0.5,0.9503991007804871,10,4.291805316669032,66.57520964482025
A,zero-shot,123,0.45355191231550657,0.5,0.9529904723167419,0,10.42635925788506,53.33872216125023
A,few-shot,123,0.499999999745,0.5,0.9462504386901855,10,3.0525126167960086,83.33122750820358
A,zero-shot,2024,0.44444444419259255,0.5,0.9494665265083313,0,9.276203139764627,89.07291802988806
A,few-shot,2024,0.499999999745,0.5,0.95011305809021,10,3.126930369218735,93.54793103283646
B,zero-shot,13,0.9999999994708625,1.0,-0.04069943856660635,0,13.659777198314929,73.05116137951094
B,few-shot,13,0.9999999994708625,1.0,-0.04069943856660635,10,4.463910879325971,73.05116137951094
B,zero-shot,42,0.9999999994708625,1.0,-0.0073936112527247765,0,5.516817211686077,76.5677315784074
B,few-shot,42,0.9999999994708625,1.0,-0.0073936112527247765,10,1.2067268846744308,76.5677315784074
B,zero-shot,87,0.9999999994584718,1.0,0.005156098930196531,0,14.118668826294849,57.610821443346616
B,few-shot,87,0.9999999994584718,1.0,0.005156098930196531,10,4.64746753051794,57.610821443346616
B,zero-shot,123,0.9999999994708625,1.0,0.02052954698818697,0,5.1639248087593135,86.05921830253034
B,few-shot,123,0.9999999994708625,1.0,0.02052954698818697,10,1.0655699235037255,86.05921830253034
B,zero-shot,2024,0.9999999994584718,1.0,-0.006672051624845512,0,6.293128469080191,58.792683530123426
B,few-shot,2024,0.9999999994584718,1.0,-0.006672051624845512,10,1.5172513876320766,58.792683530123426
C,zero-shot,13,0.9999999994708625,1.0,-0.04069943856660635,0,13.659777198314929,73.05116137951094
C,few-shot,13,0.9999999994708625,1.0,-0.04069943856660635,10,4.463910879325971,73.05116137951094
C,zero-shot,42,0.9999999994708625,1.0,-0.0073936112527247765,0,5.516817211686077,76.5677315784074
C,few-shot,42,0.9999999994708625,1.0,-0.0073936112527247765,10,1.2067268846744308,76.5677315784074
C,zero-shot,87,0.9999999994584718,1.0,0.005156098930196531,0,14.118668826294849,57.610821443346616
C,few-shot,87,0.9999999994584718,1.0,0.005156098930196531,10,4.64746753051794,57.610821443346616
C,zero-shot,123,0.9999999994708625,1.0,0.02052954698818697,0,5.1639248087593135,86.05921830253034
C,few-shot,123,0.9999999994708625,1.0,0.02052954698818697,10,1.0655699235037255,86.05921830253034
C,zero-shot,2024,0.9999999994584718,1.0,-0.006672051624845512,0,6.293128469080191,58.792683530123426
C,few-shot,2024,0.9999999994584718,1.0,-0.006672051624845512,10,1.5172513876320766,58.792683530123426
