Algorithm,Seed,Test_Accuracy,Test_Precision,Test_Recall,Test_Macro-F1,Best_Hyperparameters
PPO,13,0.7299999999926999,0.9999999999863013,0.7299999999926999,0.4219653176702863,"{'learning_rate': 0.0014659617838211777, 'n_steps': 2048, 'batch_size': 64, 'gamma': 0.9729894992515998, 'gae_lambda': 0.9481325980377956, 'ent_coef': 0.0033667097316883686, 'vf_coef': 0.6571577266678628}"
A2C,13,0.7299999999926999,0.9999999999863013,0.7299999999926999,0.4219653176702863,"{'learning_rate': 0.006884661328240172, 'n_steps': 5, 'gamma': 0.9064282620346766, 'gae_lambda': 0.8901489335070067, 'ent_coef': 0.003602294197691071, 'vf_coef': 0.28993277062644407}"
SAC,13,0.7299999999926999,0.9999999999863013,0.7299999999926999,0.4219653176702863,"{'learning_rate': 0.006884661328240172, 'batch_size': 64, 'gamma': 0.9070710882381443, 'tau': 0.010014893350700677, 'buffer_size': 50000, 'ent_coef': 'auto'}"
PPO,42,0.7699999999923,0.9999999999870129,0.7699999999923,0.4350282483368763,"{'learning_rate': 0.00021762990813454925, 'n_steps': 4096, 'batch_size': 32, 'gamma': 0.9456066063738443, 'gae_lambda': 0.9276378969024224, 'ent_coef': 0.00035159250271194154, 'vf_coef': 0.4115726086397086}"
A2C,42,0.7699999999923,0.9999999999870129,0.7699999999923,0.4350282483368763,"{'learning_rate': 0.0019233720128877165, 'n_steps': 10, 'gamma': 0.9075725968495544, 'gae_lambda': 0.8307094556779766, 'ent_coef': 0.008985541885270792, 'vf_coef': 0.4016072649148975}"
SAC,42,0.7699999999923,0.9999999999870129,0.7699999999923,0.4350282483368763,"{'learning_rate': 0.0019233720128877165, 'batch_size': 64, 'gamma': 0.9083298565345098, 'tau': 0.004070945567797662, 'buffer_size': 50000, 'ent_coef': 'auto'}"
PPO,87,0.8799999999911999,0.9999999999886363,0.8799999999911999,0.4680851061290176,"{'learning_rate': 0.00030153354713316065, 'n_steps': 1024, 'batch_size': 128, 'gamma': 0.9189491996447402, 'gae_lambda': 0.9696560693262951, 'ent_coef': 0.008922020428084924, 'vf_coef': 0.260004699912276}"
A2C,87,0.8799999999911999,0.9999999999886363,0.8799999999911999,0.4680851061290176,"{'learning_rate': 0.00013654978677231038, 'n_steps': 5, 'gamma': 0.9571077167379123, 'gae_lambda': 0.8601179511200447, 'ent_coef': 0.006142897981450662, 'vf_coef': 0.42144132498720693}"
SAC,87,0.8799999999911999,0.9999999999886363,0.8799999999911999,0.4680851061290176,"{'learning_rate': 0.00013654978677231038, 'batch_size': 128, 'gamma': 0.9628184884117035, 'tau': 0.007011795112004474, 'buffer_size': 50000, 'ent_coef': 0.0628892966435523}"
PPO,123,0.8299999999916999,0.9999999999879517,0.8299999999916999,0.45355191231550657,"{'learning_rate': 0.0006677840923969873, 'n_steps': 1024, 'batch_size': 64, 'gamma': 0.944292992144269, 'gae_lambda': 0.9174867183957545, 'ent_coef': 0.006813232998773297, 'vf_coef': 0.43060894078833345}"
A2C,123,0.8299999999916999,0.9999999999879517,0.8299999999916999,0.45355191231550657,"{'learning_rate': 0.0012169475244416734, 'n_steps': 10, 'gamma': 0.9060096998902505, 'gae_lambda': 0.9241393255570778, 'ent_coef': 0.009960863273678254, 'vf_coef': 0.44234933426849055}"
SAC,123,0.8299999999916999,0.9999999999879517,0.8299999999916999,0.45355191231550657,"{'learning_rate': 0.0012169475244416734, 'batch_size': 64, 'gamma': 0.9066106698792755, 'tau': 0.013413932555707771, 'buffer_size': 50000, 'ent_coef': 0.19720241338338151}"
PPO,2024,0.799999999992,0.9999999999875,0.799999999992,0.44444444419259255,"{'learning_rate': 0.00028124771689184443, 'n_steps': 2048, 'batch_size': 32, 'gamma': 0.9286468172961512, 'gae_lambda': 0.9417974523934043, 'ent_coef': 0.0021801017491027796, 'vf_coef': 0.5912489999696705}"
A2C,2024,0.799999999992,0.9999999999875,0.799999999992,0.44444444419259255,"{'learning_rate': 0.0007165403111137864, 'n_steps': 10, 'gamma': 0.9703312524537985, 'gae_lambda': 0.8360476620272302, 'ent_coef': 3.767982008858417e-05, 'vf_coef': 0.4700651694465199}"
SAC,2024,0.799999999992,0.9999999999875,0.799999999992,0.44444444419259255,"{'learning_rate': 0.0007165403111137864, 'batch_size': 256, 'gamma': 0.9773643776991784, 'tau': 0.004604766202723025, 'buffer_size': 50000, 'ent_coef': 0.010113427759007474}"
