Episode,Step,Agent,Health Score,Wear,Reward,Latency (ms)
1,10,Baseline,99.5,0.010000000000000002,0.99,0.5909999999857973
1,20,Baseline,99.0,0.02000000000000001,0.98,0.6009999997331761
1,30,Baseline,98.5,0.03000000000000002,0.97,0.5323999976099003
1,40,Baseline,98.0,0.04000000000000003,0.96,0.5719000000681262
1,50,Baseline,97.5,0.05000000000000004,0.95,0.5447000003186986
1,60,Baseline,97.0,0.060000000000000046,0.94,0.5371000006562099
1,70,Baseline,96.5,0.07000000000000005,0.9299999999999999,0.5243000014161225
1,80,Baseline,96.0,0.08000000000000006,0.9199999999999999,0.7153000005928334
1,90,Baseline,95.5,0.09000000000000007,0.9099999999999999,0.5787000009149779
1,100,Baseline,95.0,0.10000000000000007,0.8999999999999999,0.5027000006521121
1,110,Baseline,94.5,0.11000000000000008,0.8899999999999999,0.7444000002578832
1,120,Baseline,94.0,0.12000000000000009,0.8799999999999999,0.5674000021826942
1,130,Baseline,93.5,0.1300000000000001,0.8700000000000001,0.5130999998073094
1,140,Baseline,93.0,0.1400000000000001,0.8600000000000001,0.7000000005064066
1,150,Baseline,92.5,0.1500000000000001,0.8500000000000001,0.565999998798361
1,160,Baseline,92.0,0.16000000000000011,0.8400000000000001,0.5610999978671316
1,170,Baseline,91.5,0.17000000000000012,0.8300000000000001,0.5409999976109248
1,180,Baseline,91.0,0.18000000000000013,0.8200000000000001,0.5447000003186986
1,190,Baseline,90.5,0.19000000000000014,0.81,0.5574999995587859
1,200,Baseline,90.0,0.20000000000000015,0.8,0.5849000008311123
2,10,Baseline,99.5,0.010000000000000002,0.99,0.5611000015051104
2,20,Baseline,99.0,0.02000000000000001,0.98,0.5902000011701602
2,30,Baseline,98.5,0.03000000000000002,0.97,0.5272000016702805
2,40,Baseline,98.0,0.04000000000000003,0.96,0.5411999991338234
2,50,Baseline,97.5,0.05000000000000004,0.95,0.5623999968520366
2,60,Baseline,97.0,0.060000000000000046,0.94,0.5213000004005153
2,70,Baseline,96.5,0.07000000000000005,0.9299999999999999,0.5846999993082136
2,80,Baseline,96.0,0.08000000000000006,0.9199999999999999,0.5681999973603524
2,90,Baseline,95.5,0.09000000000000007,0.9099999999999999,0.5324999983713496
2,100,Baseline,95.0,0.10000000000000007,0.8999999999999999,0.5556000032811426
2,110,Baseline,94.5,0.11000000000000008,0.8899999999999999,0.5218000005697832
2,120,Baseline,94.0,0.12000000000000009,0.8799999999999999,0.562299999728566
2,130,Baseline,93.5,0.1300000000000001,0.8700000000000001,0.5405000010796357
2,140,Baseline,93.0,0.1400000000000001,0.8600000000000001,0.8013000006030779
2,150,Baseline,92.5,0.1500000000000001,0.8500000000000001,0.6714000010106247
2,160,Baseline,92.0,0.16000000000000011,0.8400000000000001,0.6261000016820617
2,170,Baseline,91.5,0.17000000000000012,0.8300000000000001,0.7155999992392026
2,180,Baseline,91.0,0.18000000000000013,0.8200000000000001,0.9075000016309787
2,190,Baseline,90.5,0.19000000000000014,0.81,0.22170000011101365
2,200,Baseline,90.0,0.20000000000000015,0.8,0.23470000087399967
3,10,Baseline,99.5,0.010000000000000002,0.99,0.6538000016007572
3,20,Baseline,99.0,0.02000000000000001,0.98,0.22949999765842222
3,30,Baseline,98.5,0.03000000000000002,0.97,0.2415000017208513
3,40,Baseline,98.0,0.04000000000000003,0.96,0.2305999987584073
3,50,Baseline,97.5,0.05000000000000004,0.95,0.21240000205580145
3,60,Baseline,97.0,0.060000000000000046,0.94,0.6220999966899399
3,70,Baseline,96.5,0.07000000000000005,0.9299999999999999,0.2358999990974553
3,80,Baseline,96.0,0.08000000000000006,0.9199999999999999,0.2195999986724928
3,90,Baseline,95.5,0.09000000000000007,0.9099999999999999,0.20500000027823262
3,100,Baseline,95.0,0.10000000000000007,0.8999999999999999,0.23230000078910962
3,110,Baseline,94.5,0.11000000000000008,0.8899999999999999,0.21190000188653357
3,120,Baseline,94.0,0.12000000000000009,0.8799999999999999,0.6221999974513892
3,130,Baseline,93.5,0.1300000000000001,0.8700000000000001,0.581899999815505
3,140,Baseline,93.0,0.1400000000000001,0.8600000000000001,0.4939999998896383
3,150,Baseline,92.5,0.1500000000000001,0.8500000000000001,0.22990000070421956
3,160,Baseline,92.0,0.16000000000000011,0.8400000000000001,0.20769999900949188
3,170,Baseline,91.5,0.17000000000000012,0.8300000000000001,0.22480000188807026
3,180,Baseline,91.0,0.18000000000000013,0.8200000000000001,0.20450000010896474
3,190,Baseline,90.5,0.19000000000000014,0.81,0.20319999748608097
3,200,Baseline,90.0,0.20000000000000015,0.8,0.19780000002356246
1,10,PPO,99.48999786376953,0.010142459534108639,0.9896758198738098,0.6220000032044481
1,20,PPO,98.98999786376953,0.020275123417377472,0.9796699285507202,1.517299999250099
1,30,PPO,98.4800033569336,0.03039800189435482,0.9694635272026062,0.5995999999868218
1,40,PPO,97.97000122070312,0.040511079132556915,0.9592565298080444,0.794399998994777
1,50,PPO,97.47000122070312,0.0506143793463707,0.9492490887641907,1.5191999991657212
1,60,PPO,96.95999908447266,0.06070792302489281,0.9390409588813782,0.5462000008265022
1,70,PPO,96.45999908447266,0.07079172879457474,0.9290324449539185,1.5026000000943895
1,80,PPO,95.95999908447266,0.08086580783128738,0.9190234541893005,0.5554999988817144
1,90,PPO,95.44999694824219,0.09093016386032104,0.9088138937950134,0.6329000025289133
1,100,PPO,94.94999694824219,0.10098476707935333,0.8988038897514343,0.5324000012478791
1,110,PPO,94.44999694824219,0.11102967709302902,0.8887933492660522,0.5516999990504701
1,120,PPO,93.94999694824219,0.12106490135192871,0.8787823915481567,1.323100001172861
1,130,PPO,93.44999694824219,0.1310904175043106,0.8687708973884583,0.5339000017556828
1,140,PPO,92.94000244140625,0.1411062628030777,0.8585589528083801,1.3213999991421588
1,150,PPO,92.44000244140625,0.15111246705055237,0.8485465049743652,0.5137000007380266
1,160,PPO,91.94000244140625,0.16110901534557343,0.8385335206985474,0.5943999967712443
1,170,PPO,91.44999694824219,0.17109592258930206,0.8287200331687927,1.1162999981024768
1,180,PPO,90.94999694824219,0.18107323348522186,0.8187059760093689,0.5959000009170268
1,190,PPO,90.44999694824219,0.19104094803333282,0.8086916208267212,0.5678999987139832
1,200,PPO,89.94999694824219,0.20099906623363495,0.7986767292022705,0.4927000009047333
2,10,PPO,99.48999786376953,0.010142459534108639,0.9896758198738098,1.207799999974668
2,20,PPO,98.98999786376953,0.020275123417377472,0.9796699285507202,1.4673000005132053
2,30,PPO,98.4800033569336,0.03039800189435482,0.9694635272026062,0.6095999997342005
2,40,PPO,97.97000122070312,0.040511079132556915,0.9592565298080444,0.8656000027258415
2,50,PPO,97.47000122070312,0.0506143793463707,0.9492490887641907,1.095200001145713
2,60,PPO,96.95999908447266,0.06070792302489281,0.9390409588813782,1.2618999971891753
2,70,PPO,96.45999908447266,0.07079172879457474,0.9290324449539185,1.6978999992716126
2,80,PPO,95.95999908447266,0.08086580783128738,0.9190234541893005,0.650499998300802
2,90,PPO,95.44999694824219,0.09093016386032104,0.9088138937950134,0.5503000029420946
2,100,PPO,94.94999694824219,0.10098476707935333,0.8988038897514343,0.4977000025974121
2,110,PPO,94.44999694824219,0.11102967709302902,0.8887933492660522,0.41280000004917383
2,120,PPO,93.94999694824219,0.12106490135192871,0.8787823915481567,0.6195000023581088
2,130,PPO,93.44999694824219,0.1310904175043106,0.8687708973884583,0.8445000021310989
2,140,PPO,92.94000244140625,0.1411062628030777,0.8585589528083801,0.4727000014099758
2,150,PPO,92.44000244140625,0.15111246705055237,0.8485465049743652,0.6557000015163794
2,160,PPO,91.94000244140625,0.16110901534557343,0.8385335206985474,0.468999998702202
2,170,PPO,91.44999694824219,0.17109592258930206,0.8287200331687927,0.7374000015261117
2,180,PPO,90.94999694824219,0.18107323348522186,0.8187059760093689,0.4551999991235789
2,190,PPO,90.44999694824219,0.19104094803333282,0.8086916208267212,0.4813999985344708
2,200,PPO,89.94999694824219,0.20099906623363495,0.7986767292022705,1.1034999988623895
3,10,PPO,99.48999786376953,0.010142459534108639,0.9896758198738098,0.4625000001396984
3,20,PPO,98.98999786376953,0.020275123417377472,0.9796699285507202,0.528900000063004
3,30,PPO,98.4800033569336,0.03039800189435482,0.9694635272026062,0.4699000019172672
3,40,PPO,97.97000122070312,0.040511079132556915,0.9592565298080444,2.3849999997764826
3,50,PPO,97.47000122070312,0.0506143793463707,0.9492490887641907,0.46890000157873146
3,60,PPO,96.95999908447266,0.06070792302489281,0.9390409588813782,0.4434000002220273
3,70,PPO,96.45999908447266,0.07079172879457474,0.9290324449539185,1.2184999977762345
3,80,PPO,95.95999908447266,0.08086580783128738,0.9190234541893005,0.45309999768505804
3,90,PPO,95.44999694824219,0.09093016386032104,0.9088138937950134,0.5840999983774964
3,100,PPO,94.94999694824219,0.10098476707935333,0.8988038897514343,0.5646999998134561
3,110,PPO,94.44999694824219,0.11102967709302902,0.8887933492660522,0.9495999984210357
3,120,PPO,93.94999694824219,0.12106490135192871,0.8787823915481567,1.1684999990393408
3,130,PPO,93.44999694824219,0.1310904175043106,0.8687708973884583,1.3380999989749398
3,140,PPO,92.94000244140625,0.1411062628030777,0.8585589528083801,1.0122999992745463
3,150,PPO,92.44000244140625,0.15111246705055237,0.8485465049743652,0.9737000000313856
3,160,PPO,91.94000244140625,0.16110901534557343,0.8385335206985474,1.027900001645321
3,170,PPO,91.44999694824219,0.17109592258930206,0.8287200331687927,0.5321999997249804
3,180,PPO,90.94999694824219,0.18107323348522186,0.8187059760093689,0.9905000006256159
3,190,PPO,90.44999694824219,0.19104094803333282,0.8086916208267212,0.957899999775691
3,200,PPO,89.94999694824219,0.20099906623363495,0.7986767292022705,1.5509000004385598
1,10,SAC,99.51000213623047,0.009803389199078083,0.990159809589386,1.1958999966736883
1,20,SAC,99.0199966430664,0.019605770707130432,0.9803593158721924,1.0644999965734314
1,30,SAC,98.52999877929688,0.029407139867544174,0.9705589413642883,1.135200000135228
1,40,SAC,98.04000091552734,0.03920751065015793,0.960758626461029,1.4171000002534129
1,50,SAC,97.55000305175781,0.04900696873664856,0.9509583115577698,1.1125000019092113
1,60,SAC,97.05999755859375,0.05880552902817726,0.9411577582359314,1.104999999370193
1,70,SAC,96.56999969482422,0.06860335171222687,0.9313575029373169,1.171699997939868
1,80,SAC,96.08000183105469,0.07840049266815186,0.9215572476387024,1.3682999997399747
1,90,SAC,95.58999633789062,0.08819694817066193,0.9117568135261536,1.2034999999741558
1,100,SAC,95.0999984741211,0.09799272567033768,0.9019565582275391,1.2652999976126011
1,110,SAC,94.61000061035156,0.10778781771659851,0.8921563029289246,1.2458999990485609
1,120,SAC,94.12000274658203,0.11758223921060562,0.8823560476303101,1.2277999994694255
1,130,SAC,93.62999725341797,0.127375990152359,0.872555673122406,1.466700003220467
1,140,SAC,93.13999938964844,0.1371690332889557,0.8627553582191467,1.229800000146497
1,150,SAC,92.6500015258789,0.14696140587329865,0.8529551029205322,1.2826000020140782
1,160,SAC,92.16000366210938,0.15675312280654907,0.8431548476219177,1.3732999977946747
1,170,SAC,91.66999816894531,0.16654430329799652,0.8333545327186584,1.3996999987284653
1,180,SAC,91.18000030517578,0.17633499205112457,0.8235543370246887,1.3687999999092426
1,190,SAC,90.69000244140625,0.18612514436244965,0.8137540817260742,1.7618999991100281
1,200,SAC,90.19999694824219,0.19591470062732697,0.8039536476135254,1.3757000015175436
2,10,SAC,99.51000213623047,0.009803389199078083,0.990159809589386,1.650300000619609
2,20,SAC,99.0199966430664,0.019605770707130432,0.9803593158721924,1.0462999998708256
2,30,SAC,98.52999877929688,0.029407139867544174,0.9705589413642883,1.5745999990031123
2,40,SAC,98.04000091552734,0.03920751065015793,0.960758626461029,1.3947999977972358
2,50,SAC,97.55000305175781,0.04900696873664856,0.9509583115577698,1.4139000013528857
2,60,SAC,97.05999755859375,0.05880552902817726,0.9411577582359314,1.445999998395564
2,70,SAC,96.56999969482422,0.06860335171222687,0.9313575029373169,1.3995000008435454
2,80,SAC,96.08000183105469,0.07840049266815186,0.9215572476387024,1.4803999983996619
2,90,SAC,95.58999633789062,0.08819694817066193,0.9117568135261536,1.5727999998489395
2,100,SAC,95.0999984741211,0.09799272567033768,0.9019565582275391,1.5215999992506113
2,110,SAC,94.61000061035156,0.10778781771659851,0.8921563029289246,1.6141000014613383
2,120,SAC,94.12000274658203,0.11758223921060562,0.8823560476303101,1.7463999975007027
2,130,SAC,93.62999725341797,0.127375990152359,0.872555673122406,1.7410000000381842
2,140,SAC,93.13999938964844,0.1371690332889557,0.8627553582191467,1.6060999987530522
2,150,SAC,92.6500015258789,0.14696140587329865,0.8529551029205322,2.0179999992251396
2,160,SAC,92.16000366210938,0.15675312280654907,0.8431548476219177,1.9926000022678636
2,170,SAC,91.66999816894531,0.16654430329799652,0.8333545327186584,1.832099998864578
2,180,SAC,91.18000030517578,0.17633499205112457,0.8235543370246887,1.8872000000556
2,190,SAC,90.69000244140625,0.18612514436244965,0.8137540817260742,1.9962000005762093
2,200,SAC,90.19999694824219,0.19591470062732697,0.8039536476135254,2.0552999994833954
3,10,SAC,99.51000213623047,0.009803389199078083,0.990159809589386,1.6995000005408656
3,20,SAC,99.0199966430664,0.019605770707130432,0.9803593158721924,2.1348000009311363
3,30,SAC,98.52999877929688,0.029407139867544174,0.9705589413642883,1.104399998439476
3,40,SAC,98.04000091552734,0.03920751065015793,0.960758626461029,1.7030999988492113
3,50,SAC,97.55000305175781,0.04900696873664856,0.9509583115577698,1.7470999991928693
3,60,SAC,97.05999755859375,0.05880552902817726,0.9411577582359314,2.195400000346126
3,70,SAC,96.56999969482422,0.06860335171222687,0.9313575029373169,2.36370000129682
3,80,SAC,96.08000183105469,0.07840049266815186,0.9215572476387024,2.4293000024044886
3,90,SAC,95.58999633789062,0.08819694817066193,0.9117568135261536,1.9677999989653472
3,100,SAC,95.0999984741211,0.09799272567033768,0.9019565582275391,1.8338000008952804
3,110,SAC,94.61000061035156,0.10778781771659851,0.8921563029289246,1.6100000029837247
3,120,SAC,94.12000274658203,0.11758223921060562,0.8823560476303101,1.6018999995139893
3,130,SAC,93.62999725341797,0.127375990152359,0.872555673122406,1.6773999996075872
3,140,SAC,93.13999938964844,0.1371690332889557,0.8627553582191467,1.5959999982442241
3,150,SAC,92.6500015258789,0.14696140587329865,0.8529551029205322,2.0604000019375235
3,160,SAC,92.16000366210938,0.15675312280654907,0.8431548476219177,1.7365000021527521
3,170,SAC,91.66999816894531,0.16654430329799652,0.8333545327186584,2.4502000014763325
3,180,SAC,91.18000030517578,0.17633499205112457,0.8235543370246887,1.870500000222819
3,190,SAC,90.69000244140625,0.18612514436244965,0.8137540817260742,1.8357000008109026
3,200,SAC,90.19999694824219,0.19591470062732697,0.8039536476135254,1.741500000207452
1,10,A2C,99.45999908447266,0.010876910760998726,0.8884321451187134,1.6312999978254084
1,20,A2C,98.91000366210938,0.021752435714006424,0.8774346113204956,1.481199997215299
1,30,A2C,98.37000274658203,0.03262655436992645,0.866637110710144,1.4908999983163085
1,40,A2C,97.83000183105469,0.04349924996495247,0.8558395504951477,1.6296000030706637
1,50,A2C,97.27999877929688,0.05437052622437477,0.8448420166969299,1.567100000102073
1,60,A2C,96.73999786376953,0.06524038314819336,0.834044337272644,1.7833999991125893
1,70,A2C,96.19000244140625,0.07610884308815002,0.8230469822883606,1.4909000019542873
1,80,A2C,95.6500015258789,0.0869758278131485,0.812249481678009,1.4302000017778482
1,90,A2C,95.11000061035156,0.09784138202667236,0.8014519810676575,1.4721000006829854
1,100,A2C,94.55999755859375,0.10870544612407684,0.7904545068740845,1.473799999075709
1,110,A2C,94.0199966430664,0.11956802010536194,0.7796570658683777,1.6051000020524953
1,120,A2C,93.4800033569336,0.13042910397052765,0.7688598036766052,1.5072999995027203
1,130,A2C,92.94000244140625,0.14128869771957397,0.7580623626708984,1.7541000015626196
1,140,A2C,92.38999938964844,0.15214680135250092,0.7470649480819702,1.555999999254709
1,150,A2C,91.8499984741211,0.16300338506698608,0.7362675666809082,1.5469000027223956
1,160,A2C,91.30999755859375,0.17385835945606232,0.7254701852798462,0.6565000003320165
1,170,A2C,90.76000213623047,0.18471184372901917,0.7144728899002075,0.5864000013389159
1,180,A2C,90.22000122070312,0.19556376338005066,0.7036754488945007,0.7269999987329356
1,190,A2C,89.68000030517578,0.2064141184091568,0.6928781270980835,1.2252999986230861
1,200,A2C,89.13999938964844,0.2172628790140152,0.6820808053016663,0.5826000015076715
2,10,A2C,99.45999908447266,0.010876910760998726,0.8884321451187134,0.6640999999945052
2,20,A2C,98.91000366210938,0.021752435714006424,0.8774346113204956,1.7243999973288737
2,30,A2C,98.37000274658203,0.03262655436992645,0.866637110710144,0.6079999984649476
2,40,A2C,97.83000183105469,0.04349924996495247,0.8558395504951477,0.6370999981299974
2,50,A2C,97.27999877929688,0.05437052622437477,0.8448420166969299,0.656899999739835
2,60,A2C,96.73999786376953,0.06524038314819336,0.834044337272644,1.7578000006324146
2,70,A2C,96.19000244140625,0.07610884308815002,0.8230469822883606,0.6064000008336734
2,80,A2C,95.6500015258789,0.0869758278131485,0.812249481678009,0.6032999990566168
2,90,A2C,95.11000061035156,0.09784138202667236,0.8014519810676575,1.8267000014020596
2,100,A2C,94.55999755859375,0.10870544612407684,0.7904545068740845,0.6228999991435558
2,110,A2C,94.0199966430664,0.11956802010536194,0.7796570658683777,0.6174999980430584
2,120,A2C,93.4800033569336,0.13042910397052765,0.7688598036766052,0.6417000004148576
2,130,A2C,92.94000244140625,0.14128869771957397,0.7580623626708984,0.5242999977781437
2,140,A2C,92.38999938964844,0.15214680135250092,0.7470649480819702,0.5760999993071891
2,150,A2C,91.8499984741211,0.16300338506698608,0.7362675666809082,1.5413000000989996
2,160,A2C,91.30999755859375,0.17385835945606232,0.7254701852798462,0.5973000006633811
2,170,A2C,90.76000213623047,0.18471184372901917,0.7144728899002075,0.5332000000635162
2,180,A2C,90.22000122070312,0.19556376338005066,0.7036754488945007,1.2538000009953976
2,190,A2C,89.68000030517578,0.2064141184091568,0.6928781270980835,1.4489999994111713
2,200,A2C,89.13999938964844,0.2172628790140152,0.6820808053016663,1.1702999981935136
3,10,A2C,99.45999908447266,0.010876910760998726,0.8884321451187134,1.1921000004804228
3,20,A2C,98.91000366210938,0.021752435714006424,0.8774346113204956,1.3533999990613665
3,30,A2C,98.37000274658203,0.03262655436992645,0.866637110710144,1.3177000000723638
3,40,A2C,97.83000183105469,0.04349924996495247,0.8558395504951477,1.156099999207072
3,50,A2C,97.27999877929688,0.05437052622437477,0.8448420166969299,0.6231000006664544
3,60,A2C,96.73999786376953,0.06524038314819336,0.834044337272644,0.48349999997299165
3,70,A2C,96.19000244140625,0.07610884308815002,0.8230469822883606,0.49759999819798395
3,80,A2C,95.6500015258789,0.0869758278131485,0.812249481678009,0.5555999996431638
3,90,A2C,95.11000061035156,0.09784138202667236,0.8014519810676575,0.5560999998124316
3,100,A2C,94.55999755859375,0.10870544612407684,0.7904545068740845,1.3177000000723638
3,110,A2C,94.0199966430664,0.11956802010536194,0.7796570658683777,0.6404999985534232
3,120,A2C,93.4800033569336,0.13042910397052765,0.7688598036766052,1.9155999980284832
3,130,A2C,92.94000244140625,0.14128869771957397,0.7580623626708984,0.49539999963599257
3,140,A2C,92.38999938964844,0.15214680135250092,0.7470649480819702,0.48489999971934594
3,150,A2C,91.8499984741211,0.16300338506698608,0.7362675666809082,1.0767999992822297
3,160,A2C,91.30999755859375,0.17385835945606232,0.7254701852798462,0.4211999985272996
3,170,A2C,90.76000213623047,0.18471184372901917,0.7144728899002075,0.4965999978594482
3,180,A2C,90.22000122070312,0.19556376338005066,0.7036754488945007,1.0657000020728447
3,190,A2C,89.68000030517578,0.2064141184091568,0.6928781270980835,0.44999999954598024
3,200,A2C,89.13999938964844,0.2172628790140152,0.6820808053016663,1.31879999753437
