dataset,config,seed,Macro-F1,Accuracy,ROC-AUC,Latency,PR-AUC
AI4I_2020,Full,13,0.8766521141080079,0.9853333333333333,0.9896750970919769,0.03949620004277676,0.8350645816426908
AI4I_2020,Full,42,0.8638682718373047,0.9846666666666667,0.9654122518572646,0.04580379999242723,0.8155759230202773
AI4I_2020,Full,87,0.8390980614090571,0.9806666666666667,0.9853177986170313,0.03506960003869608,0.794634255424464
AI4I_2020,Full,123,0.8478084415584416,0.9826666666666667,0.9698372102464173,0.04947359999641776,0.7816809074363019
AI4I_2020,Full,2024,0.8923898071625345,0.9866666666666667,0.9727736505230112,0.034535500046331435,0.8673953305649286
AI4I_2020,-KG,13,0.8878655582800072,0.9866666666666667,0.9893367975209407,0.029757499985862523,0.8292737274173999
AI4I_2020,-KG,42,0.8365452527494703,0.982,0.9695530386067469,0.03382810001494363,0.7829189579764874
AI4I_2020,-KG,87,0.8280013759889921,0.9793333333333333,0.9830579574825099,0.030468899989500642,0.7688891599800766
AI4I_2020,-KG,123,0.8283556470992104,0.9806666666666667,0.9711092166335134,0.03327100002206862,0.7850266975008656
AI4I_2020,-KG,2024,0.8563470654897767,0.984,0.9651010162519114,0.036129699961747974,0.8355536520754219
AI4I_2020,-coordination,13,0.8436770251544896,0.982,0.934004519682269,0.033117700018920004,0.7209826548341011
AI4I_2020,-coordination,42,0.7762333491286264,0.9773333333333334,0.8695516854084628,0.030757600034121424,0.5879350718610278
AI4I_2020,-coordination,87,0.816904690568927,0.978,0.9025291275930662,0.04917489999206737,0.6594365947715046
AI4I_2020,-coordination,123,0.792843022361116,0.9766666666666667,0.8835843516150421,0.032987200014758855,0.622958835735347
AI4I_2020,-coordination,2024,0.8396334478808706,0.9813333333333333,0.8984965967063155,0.04120819998206571,0.7103409243989609
AI4I_2020,-meta-RL,13,0.8040368410738781,0.9786666666666667,0.9758454106280192,0.0034889000235125422,0.6960251635069225
AI4I_2020,-meta-RL,42,0.7705018359853122,0.9773333333333334,0.978078187796858,0.0040210000006482005,0.7048012038063208
AI4I_2020,-meta-RL,87,0.7893960932975307,0.9786666666666667,0.9726653946602795,0.002761600015219301,0.720235619745621
AI4I_2020,-meta-RL,123,0.8160201997132452,0.9806666666666667,0.9606625258799171,0.002937300014309585,0.7582700879014733
AI4I_2020,-meta-RL,2024,0.8495461308279978,0.984,0.9825031461860106,0.0025970000424422324,0.8567151831842383
AI4I_2020,-ADWIN,13,0.766740273069387,0.9766666666666667,0.9619074683013301,0.03356180002447218,0.5751765011205446
AI4I_2020,-ADWIN,42,0.7707663014072058,0.9753333333333334,0.9595799672526015,0.04268499999307096,0.6104396078285544
AI4I_2020,-ADWIN,87,0.7396831803047119,0.9713333333333334,0.9494174481386757,0.03727850003633648,0.5330548143327195
AI4I_2020,-ADWIN,123,0.7724899137195083,0.9766666666666667,0.9479559939917996,0.03453800000716001,0.6442207125574164
AI4I_2020,-ADWIN,2024,0.7333333333333334,0.974,0.9516772892731972,0.026030000008177012,0.6136618546630587
AI4I_2020,Rule-based,13,0.5947464814590918,0.8793333333333333,0.7483660130718953,0.001646700024139136,0.11147467320261438
AI4I_2020,Rule-based,42,0.6190989188565272,0.89,0.7917224860958877,0.0007527000270783901,0.14120801364023872
AI4I_2020,Rule-based,87,0.6177531388798995,0.8913333333333333,0.7829537612146308,0.0006572999991476536,0.13725925925925925
AI4I_2020,Rule-based,123,0.6439539572393098,0.892,0.868428530832623,0.0007875000010244548,0.18936836866726384
AI4I_2020,Rule-based,2024,0.6238007025846188,0.9033333333333333,0.7607883733203427,0.0006030999938957393,0.13412267471091
AI4I_2020,PPO,13,0.8834848030893172,0.986,0.989133817778319,0.026727700023911893,0.8297349985333818
AI4I_2020,PPO,42,0.85203073025794,0.9833333333333333,0.9667789821242507,0.02405549999093637,0.8118247391686951
AI4I_2020,PPO,87,0.8696731250873568,0.9846666666666667,0.9871446163006264,0.08750470000086352,0.8314560547528728
AI4I_2020,PPO,123,0.8324049097380728,0.9813333333333333,0.9701755098174536,0.03211820003343746,0.8041039890761638
AI4I_2020,PPO,2024,0.8834848030893172,0.986,0.9718670076726343,0.023498800001107156,0.8701974485622829
AI4I_2020,A2C,13,0.85203073025794,0.9833333333333333,0.9863665272872434,0.019466300029307604,0.7746127249354254
AI4I_2020,A2C,42,0.7893960932975307,0.9786666666666667,0.9758386446365986,0.01569449994713068,0.7873031037508756
AI4I_2020,A2C,87,0.8079393336114427,0.9793333333333333,0.9825843380830592,0.014941200031898916,0.7976541848172584
AI4I_2020,A2C,123,0.8563470654897767,0.984,0.9646138648696194,0.015404900012072176,0.8119163867846618
AI4I_2020,A2C,2024,0.8878655582800072,0.9866666666666667,0.9725977347460724,0.015393199981190264,0.8474619020382061
AI4I_2020,SAC,13,0.6376732031884759,0.9706666666666667,0.9729766302656329,0.018849299987778068,0.6452626757389854
AI4I_2020,SAC,42,0.6676232631288811,0.9726666666666667,0.9680103925628223,0.021275399951264262,0.6800479299072884
AI4I_2020,SAC,87,0.6282827817126655,0.9713333333333334,0.965574635651362,0.020885200006887317,0.6958337563615906
AI4I_2020,SAC,123,0.6569592646099097,0.9726666666666667,0.9519343969471846,0.02009329997235909,0.717882285167354
AI4I_2020,SAC,2024,0.5797342489761611,0.9686666666666667,0.9666571942786777,0.01877490000333637,0.7557850293807331
Gas_Turbine,Full,13,0.8955160536175123,0.9243194192377495,0.9689067099571311,0.0645793000003323,0.9243474949982576
Gas_Turbine,Full,42,0.895886673774742,0.9239564428312159,0.9667439060129501,0.05898370000068098,0.92533696053881
Gas_Turbine,Full,87,0.8947629450094041,0.9225045372050816,0.9672392951576345,0.06690289999824017,0.9234380770893841
Gas_Turbine,Full,123,0.8895402341810633,0.9210526315789473,0.9659633111844625,0.06368630001088604,0.9232758166331048
Gas_Turbine,Full,2024,0.888780164204783,0.9194192377495463,0.9675551812471489,0.06607350002741441,0.9227688630117139
Gas_Turbine,-KG,13,0.8821961398483247,0.9165154264972777,0.9600551875579072,0.05870320001849905,0.9074461528090387
Gas_Turbine,-KG,42,0.8768688020444945,0.9116152450090744,0.9555385616070577,0.06806540000252426,0.9015744413220335
Gas_Turbine,-KG,87,0.8818229172699787,0.9139745916515426,0.9594895318156458,0.05851699999766424,0.9061176726243186
Gas_Turbine,-KG,123,0.877228455251991,0.9130671506352087,0.9602444858485061,0.06356310000410303,0.9099533827535102
Gas_Turbine,-KG,2024,0.8716928711188268,0.9072595281306715,0.9567398322630452,0.06325639999704435,0.8959428410320356
Gas_Turbine,-coordination,13,0.8960211310748011,0.9248638838475499,0.9687891484638014,0.06556819996330887,0.9254907315103423
Gas_Turbine,-coordination,42,0.8928469385160132,0.9221415607985481,0.9656670841433066,0.07187230000272393,0.9232487680591647
Gas_Turbine,-coordination,87,0.8979410501449587,0.9248638838475499,0.96913430709191,0.06986520002828911,0.9288589008314512
Gas_Turbine,-coordination,123,0.8900480951733343,0.9214156079854809,0.9650980406740892,0.06851050001569092,0.9215713689419719
Gas_Turbine,-coordination,2024,0.8884864304280475,0.9194192377495463,0.9670169666982489,0.059909400006290525,0.9209678165027505
Gas_Turbine,-meta-RL,13,0.8885245121965214,0.9203266787658803,0.9632137791623712,0.006192200002260506,0.913390365058462
Gas_Turbine,-meta-RL,42,0.8951628018821065,0.9232304900181488,0.9627108243815522,0.0073450999916531146,0.9141779617812832
Gas_Turbine,-meta-RL,87,0.9030060181931054,0.9277676950998185,0.9652696503054532,0.006720700010191649,0.9148580073585263
Gas_Turbine,-meta-RL,123,0.8980440303924557,0.925589836660617,0.9647004695943128,0.00641990004805848,0.9223887420623103
Gas_Turbine,-meta-RL,2024,0.8877613428224074,0.9181488203266788,0.9637437274099029,0.00809409999055788,0.9137521759247773
Gas_Turbine,-ADWIN,13,0.8816111892322799,0.914519056261343,0.9636764176951896,0.05127240001456812,0.9093268492472493
Gas_Turbine,-ADWIN,42,0.8828681996115544,0.9143375680580762,0.9624568843906911,0.062210199947003275,0.91324295877966
Gas_Turbine,-ADWIN,87,0.8840583715160526,0.915426497277677,0.9628906605030713,0.058204100001603365,0.9095035211188616
Gas_Turbine,-ADWIN,123,0.8811056091208945,0.914519056261343,0.9621692965683684,0.05700440000509843,0.911938394476159
Gas_Turbine,-ADWIN,2024,0.8804206826562757,0.9130671506352087,0.9637343404568902,0.058347999991383404,0.9102090907982738
Gas_Turbine,Rule-based,13,0.42775397635050183,0.5778584392014519,0.4284666177549524,0.0005913000204600394,0.23265939596704216
Gas_Turbine,Rule-based,42,0.42939475001318983,0.5782214156079855,0.4302400763828935,0.0008861999958753586,0.23410815156351777
Gas_Turbine,Rule-based,87,0.4228526604176317,0.5753176043557169,0.424901281798517,0.0004507999983616173,0.2371853518265365
Gas_Turbine,Rule-based,123,0.4245995796087952,0.5753176043557169,0.4252213071889175,0.0004170999745838344,0.23217641380326165
Gas_Turbine,Rule-based,2024,0.4261910704222935,0.5771324863883848,0.427689756816507,0.0003929000231437385,0.2357399511012979
Gas_Turbine,PPO,13,0.8751920455797497,0.9117967332123412,0.9583947309805585,0.0422406000434421,0.9019522296605846
Gas_Turbine,PPO,42,0.8777486996734261,0.9123411978221415,0.9570568266946795,0.056905999954324216,0.9025202234375054
Gas_Turbine,PPO,87,0.8798835256299984,0.9132486388384755,0.958536607533625,0.06147269997745752,0.906440225129555
Gas_Turbine,PPO,123,0.8712379996619939,0.9092558983666061,0.9568097019385707,0.050686200032942,0.8993234101645363
Gas_Turbine,PPO,2024,0.8716528121380112,0.9088929219600725,0.9572687475874654,0.04857909999554977,0.8992998486327967
Gas_Turbine,A2C,13,0.8835915492957747,0.9183303085299456,0.9626887773091634,0.061238399997819215,0.9151783566171444
Gas_Turbine,A2C,42,0.884532913818548,0.9181488203266788,0.9614824491516448,0.06429439998464659,0.9124759595312394
Gas_Turbine,A2C,87,0.8844616242583536,0.9174228675136116,0.9640236126666919,0.06044769997242838,0.9172706699171255
Gas_Turbine,A2C,123,0.8788164583409765,0.9152450090744102,0.9632681511563475,0.06078579998575151,0.9153907776790964
Gas_Turbine,A2C,2024,0.8778561962596574,0.9132486388384755,0.9626830894480121,0.06541389995254576,0.9087230258107611
Gas_Turbine,SAC,13,0.8113200421798488,0.8782214156079855,0.9370516143607953,0.06651470001088455,0.8546536596704326
Gas_Turbine,SAC,42,0.8081692245966341,0.8767695099818512,0.929613685197942,0.06958769995253533,0.8498358768420587
Gas_Turbine,SAC,87,0.8315060082622512,0.8878402903811252,0.9409246371826441,0.0626295999973081,0.8715426131439137
Gas_Turbine,SAC,123,0.8079796203023382,0.8791288566243194,0.9318651715160597,0.07274780003353953,0.8562446702321899
Gas_Turbine,SAC,2024,0.8117650062766528,0.8771324863883847,0.9335019475734287,0.061152800044510514,0.8501918230955334
Hydraulic_Systems,Full,13,1.0,1.0,1.0,0.04103279998525977,
Hydraulic_Systems,Full,42,1.0,1.0,1.0,0.08684549998724833,
Hydraulic_Systems,Full,87,0.9969831616738674,0.9969788519637462,1.0,0.06029280001530424,
Hydraulic_Systems,Full,123,1.0,1.0,1.0,0.05409370001871139,
Hydraulic_Systems,Full,2024,1.0,1.0,1.0,0.039427700045052916,
Hydraulic_Systems,-KG,13,1.0,1.0,1.0,0.04366540000773966,
Hydraulic_Systems,-KG,42,1.0,1.0,1.0,0.0636431000311859,
Hydraulic_Systems,-KG,87,0.9969831616738674,0.9969788519637462,1.0,0.03992810001363978,
Hydraulic_Systems,-KG,123,1.0,1.0,1.0,0.04226550000021234,
Hydraulic_Systems,-KG,2024,1.0,1.0,1.0,0.054042299976572394,
Hydraulic_Systems,-coordination,13,1.0,1.0,1.0,0.06431740004336461,
Hydraulic_Systems,-coordination,42,1.0,1.0,1.0,0.03798580000875518,
