Scenario,Regime,Seed,Macro-F1,ROC-AUC
Scenario_A,zero_shot,13,0.3737253392158495,0.4189231248054777
Scenario_A,zero_shot,42,0.35702748532199535,0.3708439897698209
Scenario_A,zero_shot,87,0.3788539872164351,0.4247351114358787
Scenario_A,zero_shot,123,0.37788018433179726,0.3533471359558316
Scenario_A,zero_shot,2024,0.399416457235958,0.4801418151801783
Scenario_A,few_shot,13,0.5764152628818746,0.8143885573553094
Scenario_A,few_shot,42,0.5450795807453416,0.7131896236755572
Scenario_A,few_shot,87,0.5379152682523469,0.83180421927225
Scenario_A,few_shot,123,0.5764152628818746,0.7904843096658953
Scenario_A,few_shot,2024,0.6008600136239782,0.84584365147025
Scenario_B,zero_shot,13,0.3363335490832435,0.34550119852571337
Scenario_B,zero_shot,42,0.33040564327904764,0.3362724111734301
Scenario_B,zero_shot,87,0.336866674624389,0.3207229919725043
Scenario_B,zero_shot,123,0.3334254055915301,0.3248435526810015
Scenario_B,zero_shot,2024,0.3361524528643325,0.3419774011299435
Scenario_B,few_shot,13,0.8502256199198461,0.9390529904229401
Scenario_B,few_shot,42,0.8546984103402169,0.9389784492883952
Scenario_B,few_shot,87,0.8550973447230131,0.93863041779053
Scenario_B,few_shot,123,0.8463857173132661,0.9424007165842393
Scenario_B,few_shot,2024,0.8440750820226225,0.9338419833666702
Scenario_C,zero_shot,13,0.13476084538375974,0.12887700534759355
Scenario_C,zero_shot,42,0.23160985456714228,0.1436651583710407
Scenario_C,zero_shot,87,0.1443051629221842,0.21655697243932537
Scenario_C,zero_shot,123,0.3043676900584795,0.20728095433977786
Scenario_C,zero_shot,2024,0.319844379298063,0.28033730974907445
Scenario_C,few_shot,13,0.9408686331585419,0.9878445084327439
Scenario_C,few_shot,42,0.9414494563238125,0.9760592348827642
Scenario_C,few_shot,87,0.9419998556953936,0.9760180995475113
Scenario_C,few_shot,123,0.9763322675873622,0.9926367749897163
Scenario_C,few_shot,2024,0.9381539611360239,0.9769230769230768
