Dataset,Configuration,Metric,Seed_13,Seed_42,Seed_87,Seed_123,Seed_2024,Mean,SD,CI95_Lower,CI95_Upper
AI4I_2020,-KG,accuracy,0.6899999999931,0.7399999999926,0.6799999999931999,0.5899999999941,0.7899999999921,0.69799999999302,0.07463243262743484,0.6053464514164635,0.7906535485695765
AI4I_2020,-KG,precision,0.09374999999707033,0.0,0.0,0.0,0.04761904761678005,0.028273809522770078,0.04201069706256501,-0.023880998031908306,0.08042861707744846
AI4I_2020,-KG,recall,0.59999999988,0.0,0.0,0.0,0.49999999975,0.219999999926,0.30331501766678154,-0.1565549606188275,0.5965549604708276
AI4I_2020,-KG,macro_f1,0.4859890561718387,0.42528735607094725,0.4047619045130739,0.3710691821488074,0.4841562266359856,0.4342527451081306,0.050272392669604406,0.3718413321032078,0.4966641581130534
AI4I_2020,-KG,latency_s,0.0020022810017690062,0.001992545000684913,0.0020539320018724536,0.0017536520006251521,0.0020154050015844405,0.001963563001307193,0.00011964093917942252,0.0018150329697947192,0.0021120930328196665
AI4I_2020,-coordination,accuracy,0.7299999999926999,0.7199999999928,0.6699999999933,0.7599999999924,0.6499999999935,0.7059999999929399,0.045055521303824675,0.6500651498909022,0.7619348500949776
AI4I_2020,-coordination,precision,0.0,0.0,0.0,0.04166666666493055,0.028571428570612248,0.014047619047108561,0.019784840390236893,-0.01051456666278575,0.038609804757002875
AI4I_2020,-coordination,recall,0.0,0.0,0.0,0.49999999975,0.49999999975,0.1999999999,0.2738612786156524,-0.13998917622831047,0.5399891760283104
AI4I_2020,-coordination,macro_f1,0.421965317666611,0.4186046509127907,0.4011976045421492,0.4694960208952367,0.4196650635396791,0.4261857315112933,0.025583155800274128,0.39442514050235217,0.45794632252023443
AI4I_2020,-coordination,latency_s,0.0030476700025610626,0.0020579689991427584,0.0019792970007983966,0.0020152489998145028,0.0019214679996366613,0.0022043306003906764,0.0004740902575196496,0.0016157641667592236,0.002792897034022129
AI4I_2020,-meta-RL,accuracy,0.6799999999931999,0.599999999994,0.599999999994,0.7499999999925,0.6699999999933,0.6599999999934,0.06284902544925418,0.5819751383153537,0.7380248616714462
AI4I_2020,-meta-RL,precision,0.0909090909063361,0.024999999999375,0.0,0.0,0.03030303030211203,0.02924242424156463,0.03718917711262821,-0.01692663533241499,0.07541148381554424
AI4I_2020,-meta-RL,recall,0.59999999988,0.49999999975,0.0,0.0,0.49999999975,0.31999999987600003,0.2949576239702917,-0.04617954939559926,0.6861795491475993
AI4I_2020,-meta-RL,macro_f1,0.4801819359563809,0.39722724504175994,0.37499999975660153,0.42857142832013057,0.4285714282698945,0.42191040746895353,0.0396678531316536,0.37266415851698903,0.47115665642091803
AI4I_2020,-meta-RL,latency_s,0.0020087269981740974,0.0018923789990367367,0.0020113160001346843,0.0020137259981129318,0.0019428579977829941,0.0019738011986482886,5.4332811644405996e-05,0.0019063489178399405,0.002041253479456637
AI4I_2020,A2C,accuracy,0.0499999999995,0.5399999999946,0.7799999999921999,0.5199999999948,0.0299999999997,0.38399999999615997,0.3303483010366746,-0.026115834095424506,0.7941158340877444
AI4I_2020,A2C,precision,0.0499999999995,0.041666666665798616,0.0,0.0399999999992,0.02020202020181614,0.03037373737326295,0.020195377695524836,0.005301883991836752,0.05544559075468915
AI4I_2020,A2C,recall,0.9999999998,0.9999999995,0.0,0.9999999995,0.9999999995,0.79999999966,0.44721359530989213,0.24479999989596013,1.3551999994240398
AI4I_2020,A2C,macro_f1,0.04761904757278911,0.38666666639555547,0.43820224693810755,0.37629937603264596,0.029902990269024883,0.2557380654416246,0.19955294564680215,0.008000079526312737,0.5034760513569364
AI4I_2020,A2C,latency_s,0.0018913000010070391,0.003091047999332659,0.0019933429997763597,0.0019057550016441382,0.0018937839995487593,0.002155046000261791,0.0005249317550315239,0.0015033616299159223,0.0028067303706076595
AI4I_2020,AIDA-Twin_minus_ADWIN,accuracy,0.9499999999905,0.9799999999901999,0.9699999999903,0.9799999999901999,0.9799999999901999,0.97199999999028,0.013038404810274885,0.9558132775303513,0.9881867224502087
AI4I_2020,AIDA-Twin_minus_ADWIN,precision,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AI4I_2020,AIDA-Twin_minus_ADWIN,recall,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AI4I_2020,AIDA-Twin_minus_ADWIN,macro_f1,0.48717948692465485,0.4949494946945209,0.4923857865470896,0.4949494946945209,0.4949494946945209,0.4928827515110615,0.003375962206434753,0.48869161278926754,0.4970738902328554
AI4I_2020,AIDA-Twin_minus_ADWIN,latency_s,0.0009212880005361512,0.0010598780016880483,0.0011198589997366071,0.001116825000208337,0.0011790989982546308,0.001079389800084755,9.79259462880169e-05,0.0009578181709433684,0.0012009614292261416
AI4I_2020,Full,accuracy,0.7199999999928,0.6599999999934,0.7599999999924,0.7299999999926999,0.9799999999901999,0.7699999999923,0.12288205727321624,0.6174462339963911,0.9225537659882088
AI4I_2020,Full,precision,0.07407407407133058,0.029411764705017305,0.0,0.0,0.0,0.02069716775526958,0.03244285971958783,-0.019579505175879842,0.060973840686419
AI4I_2020,Full,recall,0.39999999992,0.49999999975,0.0,0.0,0.0,0.179999999934,0.24899799186178187,-0.12912227736866816,0.4891222772366682
AI4I_2020,Full,macro_f1,0.4791666662802512,0.4241192408930842,0.4318181815658897,0.42196531766861567,0.4949494946945209,0.45040378022047234,0.03411990595607961,0.40804511318210146,0.4927624472588432
AI4I_2020,Full,latency_s,0.0029897259996505454,0.0024192369999946096,0.002106670999783091,0.006134703998686746,0.0025920919998316094,0.0032484859995893208,0.0016446473448669412,0.0012067139804508471,0.005290258018727794
AI4I_2020,PPO,accuracy,0.8499999999915,0.699999999993,0.9599999999904,0.7199999999928,0.6499999999935,0.77599999999224,0.12660963628286512,0.6188185753406423,0.9331814246438377
AI4I_2020,PPO,precision,0.18749999998828126,0.0,0.0,0.035714285713010205,0.028571428570612248,0.05035714285438074,0.07837231262997003,-0.046939335629273604,0.14765362133803508
AI4I_2020,PPO,recall,0.59999999988,0.0,0.0,0.49999999975,0.49999999975,0.31999999987600003,0.2949576239702917,-0.04617954939559926,0.6861795491475993
AI4I_2020,PPO,macro_f1,0.600957701067175,0.4117647056333564,0.48979591811237505,0.45098039184335253,0.4196650635396791,0.4746327560391876,0.07700841923612133,0.37902950338740504,0.5702360086909701
AI4I_2020,PPO,latency_s,0.002008397000900004,0.001961742998973932,0.0016682480007875712,0.0020225710005615837,0.001974086998670828,0.001927009199978784,0.00014674480058814466,0.0017448306747587347,0.002109187725198833
AI4I_2020,Rule-based,accuracy,0.9499999999905,0.9799999999901999,0.9699999999903,0.9799999999901999,0.9799999999901999,0.97199999999028,0.013038404810274885,0.9558132775303513,0.9881867224502087
AI4I_2020,Rule-based,precision,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AI4I_2020,Rule-based,recall,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AI4I_2020,Rule-based,macro_f1,0.48717948692465485,0.4949494946945209,0.4923857865470896,0.4949494946945209,0.4949494946945209,0.4928827515110615,0.003375962206434753,0.48869161278926754,0.4970738902328554
AI4I_2020,Rule-based,latency_s,0.000926851999538485,0.0009468140001990832,0.0009476359974360094,0.0017717229991103523,0.0008945470000617206,0.00109751439926913,0.0003775092056952471,0.0006288499554529964,0.0015661788430852638
AI4I_2020,SAC,accuracy,0.9499999999905,0.0299999999997,0.9699999999903,0.9799999999901999,0.9799999999901999,0.78199999999218,0.42055915160231927,0.25989055761582536,1.3041094423685347
AI4I_2020,SAC,precision,0.0,0.02020202020181614,0.0,0.0,0.0,0.004040404040363228,0.009034618090816984,-0.007175757575685092,0.01525656565641155
AI4I_2020,SAC,recall,0.0,0.9999999995,0.0,0.0,0.0,0.1999999999,0.4472135952763512,-0.35519999982239997,0.7551999996223999
AI4I_2020,SAC,macro_f1,0.48717948692465485,0.029902990269024883,0.4923857865470896,0.4949494946945209,0.4949494946945209,0.39987345062596225,0.20684409957740474,0.14308375272558638,0.6566631485263381
AI4I_2020,SAC,latency_s,0.0025285199980135077,0.003382922000891995,0.0028070070015382954,0.0037606700003379955,0.0025899199998821133,0.003013807800132781,0.0005366563443405633,0.0023475677632108518,0.0036800478370547104
Gas_Turbine,-KG,accuracy,0.0399999999996,0.9299999999906999,0.0499999999995,0.0199999999998,0.9499999999905,0.39799999999602,0.4949444413215493,-0.21645617170091125,1.0124561716929512
Gas_Turbine,-KG,precision,0.0399999999996,0.0,0.0499999999995,0.0199999999998,0.0,0.021999999999779998,0.022803508501754725,-0.006309756339404046,0.05030975633896404
Gas_Turbine,-KG,recall,0.99999999975,0.0,0.9999999998,0.9999999995,0.0,0.59999999981,0.5477225573317206,-0.0799783525712836,1.2799783521912835
